state,county,precincts,reporting,clinton,edwards,obama,uncommitted-d,giuliani,huckabee,keyes,mccain,paul,romney,uncommitted-r
KY,*,3532,2486,,,,,2140,10816,1307,98845,9122,6056,7493
KY,*,3532,2493,307347,8895,147500,11060,,,,,,,
KY,Adair,16,0,44,1,8,1,2,13,0,112,10,6,0
KY,Allen,13,2,254,5,46,0,2,23,4,183,19,11,1
KY,Anderson,14,14,3481,184,1130,240,21,100,11,666,83,38,47
KY,Ballard,13,8,854,52,188,54,0,9,3,34,4,4,0
KY,Barren,24,1,152,2,62,6,0,4,0,94,1,2,0
KY,Bath,12,12,2656,69,401,70,3,8,3,82,11,6,6
KY,Bell,33,33,2381,53,323,48,9,128,14,992,40,45,68
KY,Boone,60,18,3108,101,1510,120,55,287,44,2799,238,275,201
KY,Bourbon,18,18,2334,93,808,140,5,31,2,222,33,15,25
KY,Boyd,47,47,6741,214,1490,317,39,229,24,2085,115,92,174
KY,Boyle,25,25,3288,108,1577,242,18,90,10,842,84,59,65
KY,Bracken,8,8,1332,55,275,74,2,12,2,126,7,9,15
KY,Breathitt,21,21,3350,53,251,69,2,22,4,75,10,4,4
KY,Breckinridge,15,0,0,0,0,0,0,0,0,0,0,0,0
KY,Bullitt,44,1,192,6,75,7,0,10,1,53,5,2,2
KY,Butler,12,2,87,1,13,0,1,12,2,102,16,4,7
KY,Caldwell,12,0,111,6,23,7,0,3,0,20,0,0,3
KY,Calloway,28,0,0,0,0,0,0,0,0,0,0,0,0
KY,Campbell,66,66,6529,205,3289,278,73,288,71,2818,219,291,223
KY,Carlisle,6,0,0,0,0,0,0,0,0,0,0,0,0
KY,Carroll,11,11,1629,52,469,46,2,11,0,91,7,13,5
KY,Carter,23,23,3868,64,412,93,19,105,12,736,52,40,61
KY,Casey,15,15,616,27,118,15,13,131,14,1431,49,49,75
KY,Christian,44,18,1719,82,1325,0,4,39,12,342,33,22,0
KY,Clark,26,26,4690,107,1505,223,11,96,17,711,108,42,62
KY,Clay,20,20,553,13,68,15,31,216,20,1897,137,48,220
KY,Clinton,13,13,529,3,39,5,4,48,6,399,15,14,8
KY,Crittenden,12,0,0,0,0,0,0,0,0,0,0,0,0
KY,Cumberland,9,9,279,5,68,4,3,46,1,328,26,29,27
KY,Daviess,84,34,4548,172,2362,398,23,146,26,1161,59,67,131
KY,Edmonson,10,0,0,0,0,0,0,0,0,0,0,0,0
KY,Elliott,7,7,1629,34,129,25,0,1,0,13,1,10,0
KY,Estill,15,15,1423,33,156,19,13,90,6,741,40,20,33
KY,Fayette,274,274,20352,618,22978,737,203,766,158,7271,1341,589,662
KY,Fleming,18,0,0,0,0,0,0,0,0,0,0,0,0
KY,Floyd,42,33,10357,193,597,163,5,45,2,276,14,16,16
KY,Franklin,44,44,4883,191,2581,316,25,102,16,786,94,58,67
KY,Fulton,12,7,360,14,120,15,0,3,0,7,2,1,1
KY,Gallatin,7,7,1092,38,285,39,3,21,2,125,11,20,16
KY,Garrard,13,13,1257,22,299,40,17,76,5,609,58,28,61
KY,Grant,23,23,2325,81,554,93,11,74,9,351,30,38,34
KY,Graves,30,30,6106,267,1407,376,6,88,3,419,21,20,36
KY,Grayson,23,0,0,0,0,0,0,0,0,0,0,0,0
KY,Green,10,0,0,0,0,0,0,0,0,0,0,0,0
KY,Greenup,32,32,5434,143,984,174,18,198,14,1101,83,80,74
KY,Hancock,10,2,351,18,157,10,2,23,4,81,4,3,4
KY,Hardin,55,55,7877,342,4770,482,77,311,47,2626,386,149,218
KY,Harlan,35,35,4228,104,460,188,8,66,7,685,38,23,49
KY,Harrison,16,16,2613,111,761,125,6,44,4,368,52,22,21
KY,Hart,19,0,0,0,0,0,0,0,0,0,0,0,0
KY,Henderson,42,0,0,0,0,0,0,0,0,0,0,0,0
KY,Henry,20,20,2291,115,816,121,10,60,2,389,44,29,24
KY,Hickman,6,6,906,53,240,56,1,11,4,52,3,0,2
KY,Hopkins,40,40,6739,194,2118,265,7,111,15,484,56,44,50
KY,Jackson,14,14,318,4,53,11,9,168,15,1118,43,32,68
